name	speed	model	id	gender	age	tone	use	attributes	accent	notes
Rachel	249.2307692	Eleven Multi v2 - 50% stab - 75%  sim	21m00Tcm4TlvDq8ikWAM	F	young	friendly, calm, pro, calm, pro	factual	clean, strong, smooth	American	very attractive and easy voice
Drew	202.5	Eleven Multi v2 - 50% stab - 75%  sim	29vD33N1CtxCmqQRPOHJ	M	mid	calm, pro, energetic	factual	clean, flat,sharp, strong	American	expressive enough - newscaster - 
Paul	216	Eleven Multi v2 - 50% stab - 75%  sim	5Q0t7uMcjvnagumLfvZi	M	mid	friendly, pro, energetic	factual,  story	clean, smooth, strong	American	easy, tenor, expressive
Antoi	231.4285714	Eleven Multi v2 - 50% stab - 75%  sim	ErXwobaYiN019PkySvjV	M	young, mid	pro, energetic, intense	dramatic, factual	clean, commanding, sharp, strong, textured	American	expressive enough - clean narration - newscaster - 
Callum	216	Eleven Multi v1 - 50% stab - 75% sim	N2lVS1w4EtoT3dr4eOWO	M	mid, mature	pro, intense	char, dramatic, factual,  story	clean, commanding, deep, sharp, smooth, strong, textured	American	very expressive, deep dramatic narrator - heavy fry
Liam	231.4285714	Eleven Multi v1 - 50% stab - 75% sim	TX3LPaxmHKxFdv7VOQHJ	M	young, mid	friendly, calm, pro, energetic	factual,  story	clean, high expression, smooth, strong, textured	American	nicely accessible voice - guy next door -
Arnold	202.5	Eleven Multi v2 - 50% stab - 75%  sim	VR6AewLTigWG4xSOukaG	M	mid, mature	pro, intense	character, dramatic, factual,  story	clean, commanding flat, high expression, sharp, smooth, strong, textured	American	tenor voice - expressive - slightly monotone - hushed drama - dramatic intensity - commanding
Matilda	216	Eleven Turbo v2 English - 50% stab - 75%  sim	XrExE9yKIg1WjnnlVkGX	F	young, mid	friendly, calm, pro, energetic	factual,  story	clean, high expression, smooth, strong	American	perfectly balanced voice with great expression - engaging, informative, easy on the ears
Michael	202.5	Eleven Multi v1 - 50% stab - 75% sim	flq6f7yk4E4fJM5XTYuZ	M	mid, mature	pro, energetic, intense	char, dramatic, factual,  story	clean, commanding, high expression, smooth, strong, textured	American	wise narrator, casually commanding, expressive, significant fry, cigar smoking whiskey drinking weekend warrior, military
Chris	231.4285714	Eleven Turbo v2 English - 50% stab - 75%  sim	iP95p4xoKVk53GoZ742B	M	young, mid	friendly, calm, professional, energetic	factual,  story	clean, high expression, smooth, strong	American	super friendly guy, expressive, accessible, likely to take advice from, genuine
Brian	249.2307692	Eleven Turbo v2 English - 50% stab - 75%  sim	nPczCjzI2devNBz1zQrb	M	mid, mature	pro, energetic, intense	character, dramatic, factual,  story	clean, commanding, deep, high expression, sharp, smooth, strong, textured	American	ken burns narration meets yellowstone
Clyde	231.4285714	Eleven Multi v1 - 50% stab - 75% sim	2EiwWnXFnvU5JabPnv8n	M	mid	intense	dramatic,  story, factual	clean, deep, flat, smooth, strong, textured	American	smoothly intense
Domi	216	Eleven Multi v2 - 50% stab - 75%  sim	AZnzlk1XvdvUeBnXmlld	F	young	intense, pro, energetic	dramatic,  factual	clean, sharp, strong	American	a little menacing
Sarah	249.2307692	Eleven Multi v2 - 50% stab - 75%  sim	EXAVITQu4vr4xnSDxMaL	F	young	energetic, intense	dramatic, factual	clean, commanding, flat, sharp, strong	American	expressive enough - newscaster - 
Josh	231.4285714	Eleven Multi v2 - 50% stab - 75%  sim	TxGEqnHWrfWFTfGW9XjX	M	young	pro, intense	dramatic, factual	clean, flat, soft, strong, textured	American	expressive in narrow tonal range - hushed drama - melodramatic intensity
Grace	216	Eleven Multi v1 - 50% stab - 75% sim	oWAxZDx7w5VEj9dCyTzz	F	mid, mature	calm, pro, intense	character, dramatic, factual,  story	clean, commanding, flat, sharp, smooth, strong, textured	American	slight southern drawl, nice voice, a bit flat, factual, and unemotional, administrator, middle school principal
Bill	202.5	Eleven Turbo v2 English - 50% stab - 75%  sim	pqHfZKP75CvOlQylNhV4	M	mature, old	calm, energetic	character, drama,  story	high affect, high expression, strong, textured	American	range of pitches, highly expressive, good for expressive story narration, can be a bit much
Jessie	249.2307692	Eleven Multi v1 - 50% stab - 75% sim	t0jbNlBVZ17f02VDIeMI	M	mature, old	energetic, intense	character, drama,  story	high affect, high expression, sharp, textured	American	character - "Pepperige Farm Remembers" - cowboy or new england - old coger
